,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Augsburg,32.0,38.28,-6.280000000000001,34.0,8.0,8.0,18.0,51.0,71.0,-20.0,45.5,61.2,-15.700000000000003
Bayern Munich,78.0,77.75,0.25,34.0,24.0,6.0,4.0,88.0,32.0,56.0,85.7,27.1,58.6
Dortmund,76.0,60.629999999999995,15.370000000000005,34.0,23.0,7.0,4.0,81.0,44.0,37.0,61.5,40.2,21.299999999999997
Düsseldorf,44.0,39.69,4.310000000000002,34.0,13.0,5.0,16.0,49.0,65.0,-16.0,47.3,62.5,-15.200000000000003
Eint Frankfurt,54.0,51.73,2.270000000000003,34.0,15.0,9.0,10.0,60.0,48.0,12.0,57.4,50.6,6.799999999999997
Freiburg,36.0,36.1,-0.10000000000000142,34.0,8.0,12.0,14.0,46.0,61.0,-15.0,41.1,61.0,-19.9
Hannover 96,21.0,31.05,-10.05,34.0,5.0,6.0,23.0,31.0,71.0,-40.0,37.3,67.8,-30.5
Hertha BSC,43.0,43.04,-0.03999999999999915,34.0,11.0,10.0,13.0,49.0,57.0,-8.0,51.4,61.4,-10.0
Hoffenheim,51.0,59.78,-8.780000000000001,34.0,13.0,12.0,9.0,70.0,52.0,18.0,75.9,52.6,23.300000000000004
Leverkusen,58.0,55.95,2.049999999999997,34.0,18.0,4.0,12.0,69.0,52.0,17.0,58.3,44.3,14.0
M'Gladbach,55.0,48.739999999999995,6.260000000000005,34.0,16.0,7.0,11.0,55.0,42.0,13.0,52.2,52.5,-0.29999999999999716
Mainz 05,43.0,42.33,0.6700000000000017,34.0,12.0,7.0,15.0,46.0,57.0,-11.0,51.1,59.1,-8.0
Nürnberg,19.0,36.82,-17.82,34.0,3.0,10.0,21.0,26.0,68.0,-42.0,35.7,53.0,-17.299999999999997
RB Leipzig,66.0,60.92,5.079999999999998,34.0,19.0,9.0,6.0,63.0,29.0,34.0,65.8,40.5,25.299999999999997
Schalke 04,33.0,44.540000000000006,-11.540000000000006,34.0,8.0,9.0,17.0,37.0,55.0,-18.0,45.599999999999994,50.2,-4.6000000000000085
Stuttgart,28.0,35.35,-7.350000000000001,34.0,7.0,7.0,20.0,32.0,70.0,-38.0,38.0,58.3,-20.299999999999997
Werder Bremen,53.0,44.31,8.689999999999998,34.0,14.0,11.0,9.0,58.0,49.0,9.0,49.7,56.2,-6.5
Wolfsburg,55.0,46.36,8.64,34.0,16.0,7.0,11.0,62.0,50.0,12.0,47.400000000000006,48.4,-0.9999999999999929
