,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Arsenal,63.0,63.9,-0.8999999999999986,38.0,19.0,6.0,13.0,74.0,51.0,23.0,68.4,47.8,20.60000000000001
Bournemouth,44.0,40.04,3.960000000000001,38.0,11.0,11.0,16.0,45.0,61.0,-16.0,38.8,59.099999999999994,-20.299999999999997
Brighton,40.0,43.019999999999996,-3.019999999999996,38.0,9.0,13.0,16.0,34.0,54.0,-20.0,37.2,50.7,-13.5
Burnley,54.0,41.39,12.61,38.0,14.0,12.0,12.0,36.0,39.0,-3.0,32.7,51.099999999999994,-18.39999999999999
Chelsea,70.0,65.0,5.0,38.0,21.0,7.0,10.0,62.0,38.0,24.0,54.1,33.7,20.4
Crystal Palace,44.0,56.36,-12.36,38.0,11.0,11.0,16.0,45.0,55.0,-10.0,53.5,48.4,5.100000000000001
Everton,49.0,45.769999999999996,3.230000000000004,38.0,13.0,10.0,15.0,44.0,58.0,-14.0,40.5,52.400000000000006,-11.900000000000006
Huddersfield,37.0,40.31,-3.3100000000000023,38.0,9.0,10.0,19.0,28.0,58.0,-30.0,31.4,48.6,-17.200000000000003
Leicester City,47.0,55.34,-8.340000000000003,38.0,12.0,11.0,15.0,56.0,60.0,-4.0,50.1,48.3,1.8000000000000043
Liverpool,75.0,75.72999999999999,-0.7299999999999898,38.0,21.0,12.0,5.0,84.0,38.0,46.0,72.69999999999999,33.9,38.79999999999999
Manchester City,100.0,84.13,15.870000000000005,38.0,32.0,4.0,2.0,106.0,27.0,79.0,78.5,23.6,54.9
Manchester Utd,81.0,61.370000000000005,19.629999999999995,38.0,25.0,6.0,7.0,68.0,28.0,40.0,55.8,40.9,14.899999999999999
Newcastle Utd,44.0,45.57,-1.5700000000000003,38.0,12.0,8.0,18.0,39.0,47.0,-8.0,41.6,52.400000000000006,-10.800000000000004
Southampton,36.0,47.78,-11.780000000000001,38.0,7.0,15.0,16.0,37.0,56.0,-19.0,39.7,45.8,-6.099999999999994
Stoke City,33.0,38.45,-5.450000000000003,38.0,7.0,12.0,19.0,35.0,68.0,-33.0,36.5,62.5,-26.0
Swansea City,33.0,35.92,-2.9200000000000017,38.0,8.0,9.0,21.0,28.0,56.0,-28.0,31.6,58.5,-26.9
Tottenham,77.0,72.14,4.859999999999999,38.0,23.0,8.0,7.0,74.0,36.0,38.0,64.6,33.8,30.799999999999997
Watford,41.0,48.480000000000004,-7.480000000000004,38.0,11.0,8.0,19.0,44.0,64.0,-20.0,45.2,51.8,-6.599999999999994
West Brom,31.0,45.41,-14.409999999999997,38.0,6.0,13.0,19.0,31.0,56.0,-25.0,36.9,47.8,-10.899999999999999
West Ham,42.0,41.29,0.7100000000000009,38.0,10.0,12.0,16.0,48.0,68.0,-20.0,36.7,55.4,-18.699999999999996
