,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Alavés,39.0,42.79,-3.789999999999999,38.0,10.0,9.0,19.0,34.0,59.0,-25.0,39.2,57.8,-18.599999999999994
Athletic Club,51.0,46.09,4.909999999999997,38.0,13.0,12.0,13.0,41.0,38.0,3.0,41.1,48.8,-7.699999999999996
Atlético Madrid,70.0,68.23,1.769999999999996,38.0,18.0,16.0,4.0,51.0,27.0,24.0,57.0,32.599999999999994,24.400000000000006
Barcelona,82.0,68.19,13.810000000000002,38.0,25.0,7.0,6.0,86.0,38.0,48.0,66.2,38.7,27.5
Betis,41.0,50.879999999999995,-9.879999999999995,38.0,10.0,11.0,17.0,48.0,60.0,-12.0,50.8,54.5,-3.700000000000003
Celta Vigo,37.0,47.39,-10.39,38.0,7.0,16.0,15.0,37.0,49.0,-12.0,39.2,45.1,-5.899999999999999
Eibar,42.0,44.879999999999995,-2.8799999999999955,38.0,11.0,9.0,18.0,39.0,56.0,-17.0,41.8,52.6,-10.800000000000004
Espanyol,25.0,44.239999999999995,-19.239999999999995,38.0,5.0,10.0,23.0,27.0,58.0,-31.0,38.5,51.2,-12.700000000000003
Getafe,54.0,53.5,0.5,38.0,14.0,12.0,12.0,43.0,37.0,6.0,41.8,41.2,0.5999999999999943
Granada,56.0,53.25,2.75,38.0,16.0,8.0,14.0,52.0,45.0,7.0,45.0,42.5,2.5
Leganés,36.0,51.489999999999995,-15.489999999999995,38.0,8.0,12.0,18.0,30.0,51.0,-21.0,40.1,42.900000000000006,-2.8000000000000043
Levante,49.0,44.370000000000005,4.6299999999999955,38.0,14.0,7.0,17.0,47.0,53.0,-6.0,48.4,62.9,-14.5
Mallorca,33.0,38.82,-5.82,38.0,9.0,6.0,23.0,40.0,65.0,-25.0,41.599999999999994,63.5,-21.900000000000006
Osasuna,52.0,50.84,1.1599999999999966,38.0,13.0,13.0,12.0,46.0,54.0,-8.0,49.400000000000006,49.6,-0.19999999999999574
Real Madrid,87.0,72.77000000000001,14.22999999999999,38.0,26.0,9.0,3.0,70.0,25.0,45.0,67.9,33.3,34.60000000000001
Real Sociedad,56.0,54.650000000000006,1.3499999999999943,38.0,16.0,8.0,14.0,56.0,48.0,8.0,48.8,43.2,5.599999999999994
Sevilla,70.0,63.91,6.090000000000003,38.0,19.0,13.0,6.0,54.0,34.0,20.0,53.2,36.0,17.200000000000003
Valencia,53.0,44.18,8.82,38.0,14.0,11.0,13.0,46.0,53.0,-7.0,43.4,56.3,-12.899999999999999
Valladolid,42.0,41.22,0.7800000000000011,38.0,9.0,15.0,14.0,32.0,43.0,-11.0,36.7,54.5,-17.799999999999997
Villarreal,60.0,62.29,-2.289999999999999,38.0,18.0,6.0,14.0,63.0,49.0,14.0,63.6,46.5,17.1
