,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Amiens,38.0,42.18,-4.18,38.0,9.0,11.0,18.0,31.0,52.0,-21.0,35.3,49.8,-14.5
Angers,46.0,53.71,-7.710000000000001,38.0,10.0,16.0,12.0,44.0,49.0,-5.0,50.8,48.0,2.799999999999997
Bordeaux,41.0,43.46,-2.460000000000001,38.0,10.0,11.0,17.0,34.0,42.0,-8.0,39.7,53.5,-13.799999999999997
Caen,33.0,32.96,0.03999999999999915,38.0,7.0,12.0,19.0,29.0,54.0,-25.0,31.200000000000003,63.9,-32.699999999999996
Dijon,34.0,41.39,-7.390000000000001,38.0,9.0,7.0,22.0,31.0,60.0,-29.0,39.4,58.3,-18.9
Guingamp,27.0,46.519999999999996,-19.519999999999996,38.0,5.0,12.0,21.0,28.0,68.0,-40.0,40.9,53.3,-12.399999999999999
Lille,75.0,63.32,11.68,38.0,22.0,9.0,7.0,68.0,33.0,35.0,59.4,42.2,17.199999999999996
Lyon,72.0,69.28,2.719999999999999,38.0,21.0,9.0,8.0,70.0,47.0,23.0,73.7,43.9,29.800000000000004
Marseille,61.0,56.47,4.530000000000001,38.0,18.0,7.0,13.0,60.0,52.0,8.0,52.8,45.4,7.399999999999999
Monaco,36.0,50.849999999999994,-14.849999999999994,38.0,8.0,12.0,18.0,38.0,57.0,-19.0,47.2,50.3,-3.0999999999999943
Montpellier,59.0,57.62,1.3800000000000026,38.0,15.0,14.0,9.0,53.0,42.0,11.0,50.1,41.9,8.200000000000003
Nantes,48.0,54.83,-6.829999999999998,38.0,13.0,9.0,16.0,48.0,48.0,0.0,49.0,47.0,2.0
Nice,56.0,50.1,5.899999999999999,38.0,15.0,11.0,12.0,30.0,35.0,-5.0,46.400000000000006,49.9,-3.499999999999993
Nîmes,53.0,50.32,2.6799999999999997,38.0,15.0,8.0,15.0,57.0,58.0,-1.0,50.2,56.8,-6.599999999999994
Paris S-G,91.0,79.35,11.650000000000006,38.0,29.0,4.0,5.0,105.0,35.0,70.0,89.0,37.8,51.2
Reims,55.0,47.53,7.469999999999999,38.0,13.0,16.0,9.0,39.0,42.0,-3.0,38.1,44.900000000000006,-6.800000000000004
Rennes,52.0,57.92,-5.920000000000002,38.0,13.0,13.0,12.0,55.0,52.0,3.0,55.8,47.400000000000006,8.399999999999991
Saint-Étienne,66.0,56.22,9.780000000000001,38.0,19.0,9.0,10.0,59.0,41.0,18.0,56.7,50.5,6.200000000000003
Strasbourg,49.0,46.129999999999995,2.8700000000000045,38.0,11.0,16.0,11.0,58.0,48.0,10.0,41.0,51.3,-10.299999999999997
Toulouse,38.0,46.45,-8.450000000000003,38.0,8.0,14.0,16.0,35.0,57.0,-22.0,45.8,56.4,-10.600000000000001
