,points,xp,diff,played_games,wins,draws,losses,scored,suffered,goals_diff,xg_scored,xg_suffered,xg_diff
Atalanta,78.0,74.4,3.5999999999999943,38.0,23.0,9.0,6.0,98.0,48.0,50.0,83.6,41.4,42.199999999999996
Bologna,47.0,52.69,-5.689999999999998,38.0,12.0,11.0,15.0,52.0,65.0,-13.0,56.6,54.7,1.8999999999999986
Brescia,25.0,36.26,-11.259999999999998,38.0,6.0,7.0,25.0,35.0,79.0,-44.0,43.4,74.4,-31.000000000000007
Cagliari,45.0,41.730000000000004,3.269999999999996,38.0,11.0,12.0,15.0,52.0,56.0,-4.0,41.7,58.8,-17.099999999999994
Fiorentina,49.0,55.34,-6.340000000000003,38.0,12.0,13.0,13.0,51.0,48.0,3.0,53.2,49.0,4.200000000000003
Genoa,39.0,45.400000000000006,-6.400000000000006,38.0,10.0,9.0,19.0,47.0,73.0,-26.0,48.8,60.400000000000006,-11.600000000000009
Hellas Verona,49.0,50.15,-1.1499999999999986,38.0,12.0,13.0,13.0,47.0,51.0,-4.0,50.7,53.4,-2.6999999999999957
Inter,82.0,69.53999999999999,12.460000000000008,38.0,24.0,10.0,4.0,81.0,36.0,45.0,69.0,40.5,28.5
Juventus,83.0,67.03999999999999,15.960000000000008,38.0,26.0,5.0,7.0,76.0,43.0,33.0,71.0,44.8,26.200000000000003
Lazio,78.0,62.31,15.689999999999998,38.0,24.0,6.0,8.0,79.0,42.0,37.0,68.0,51.2,16.799999999999997
Lecce,35.0,38.629999999999995,-3.6299999999999955,38.0,9.0,8.0,21.0,52.0,85.0,-33.0,54.5,85.6,-31.099999999999994
Milan,66.0,63.79,2.210000000000001,38.0,19.0,9.0,10.0,63.0,46.0,17.0,63.2,45.099999999999994,18.10000000000001
Napoli,62.0,63.17,-1.1700000000000017,38.0,18.0,8.0,12.0,61.0,50.0,11.0,61.9,44.599999999999994,17.300000000000004
Parma,49.0,43.0,6.0,38.0,14.0,7.0,17.0,56.0,57.0,-1.0,48.7,64.3,-15.599999999999994
Roma,70.0,65.44999999999999,4.550000000000011,38.0,21.0,7.0,10.0,77.0,51.0,26.0,73.3,49.8,23.5
SPAL,20.0,35.76,-15.759999999999998,38.0,5.0,5.0,28.0,27.0,77.0,-50.0,40.7,69.1,-28.39999999999999
Sampdoria,42.0,51.129999999999995,-9.129999999999995,38.0,12.0,6.0,20.0,48.0,65.0,-17.0,50.2,55.0,-4.799999999999997
Sassuolo,51.0,48.69,2.3100000000000023,38.0,14.0,9.0,15.0,69.0,63.0,6.0,52.9,61.8,-8.899999999999999
Torino,40.0,43.07,-3.0700000000000003,38.0,11.0,7.0,20.0,46.0,68.0,-22.0,44.8,60.6,-15.800000000000004
Udinese,45.0,47.15,-2.1499999999999986,38.0,12.0,9.0,17.0,37.0,51.0,-14.0,41.7,53.4,-11.699999999999996
